epoch,accuracy,loss,val_accuracy,val_loss
0,0.7139999866485596,0.8673457503318787,0.8475000262260437,0.32617244124412537
1,0.8309999704360962,0.4076020121574402,0.887499988079071,0.2950747013092041
2,0.8690000176429749,0.34854573011398315,0.8974999785423279,0.30465924739837646
3,0.8889999985694885,0.3117900490760803,0.9075000286102295,0.26077234745025635
4,0.9049999713897705,0.24360261857509613,0.887499988079071,0.3180024027824402
5,0.925000011920929,0.21174313127994537,0.8500000238418579,0.49625495076179504
6,0.9449999928474426,0.17261530458927155,0.8700000047683716,0.4359869062900543
7,0.9380000233650208,0.20352059602737427,0.8662499785423279,0.519412636756897
8,0.9490000009536743,0.14668777585029602,0.9037500023841858,0.39148348569869995
9,0.9620000123977661,0.11179887503385544,0.8700000047683716,0.49921536445617676
